rating,brand,title,raters,spec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iBUYPOWER,,,AMD FX-Series FX-8320 (3.50 GHz),8 GB DDR3 1 TB HDD,Windows 10 Home 64-Bit,NVIDIA GeForce GTX 950 2 GB,802.11ac Wi-Fi Adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL,,,Intel Core i7 4790 (3.6 GHz),12 GB DDR3 1 TB HDD,Windows 8.1,NVIDIA GeForce GTX 745 4GB,NVIDIA GeForce GTX 745 4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,Intel Core i3 4150 (3.50 GHz),8 GB DDR3 2 TB HDD,Windows 7 Home Premium,Intel HD Graphics 4400,Asus QuietCool Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,Celeron 2955U (1.4GHz),2GB DDR3 16GB SSD HDD Capacity,Google Chrome OS,Intel HD Graphics,Without Keyboard and Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,Intel Core i3 4150 (3.50 GHz),8 GB DDR3 2 TB HDD,Windows 7 Home Premium,Intel HD Graphics 4400,Asus QuietCool Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Pentium G3220 (3.00 GHz),2 GB DDR3 500 GB HDD,Windows 7 Professional 64bit,Intel HD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL,,,Intel Core i7 6700 (3.4 GHz),16 GB DDR4 2 TB HDD,Windows 10 Home 64-Bit,NVIDIA GeForce GTX 745 4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ASUS,,,A8-Series APU A8-5500 (3.2 GHz),4 GB DDR3 1 TB HDD,Windows 8.1,AMD Radeon HD 7560D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DELL,,,Intel Core i5 4590 (3.30 GHz),8 GB DDR3 1 TB HDD,Windows 7 Professional 64-Bit with Windows 8.1 Pro License,No Screen,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABS,,,Intel Core i5 4590 (3.30 GHz),8 GB DDR3 120 GB SSD,Windows 7 Professional 64-Bit,Intel HD Graphics 4600,Support Email:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABS,,,Intel Core i5 4590 (3.30 GHz),4 GB DDR3 120 GB SSD,Windows 7 Professional 64-Bit,Intel HD Graphics 4600,Support Email:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABS,,,Intel Core i5 4590 (3.30 GHz),8 GB DDR3 250 GB SSD,Windows 7 Professional 64-Bit,Intel HD Graphics 4600,Support Email:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ASUS,,,Intel Core i5 5200U (2.20 GHz),8 GB 1600 MHz DDR3 Memory,1 TB 7200 RPM HDD,NVIDIA GeForce GTX 960M 2 GB,Windows 8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABS,,,Intel Core i5 4590 (3.30 GHz),4 GB DDR3 250 GB SSD,Windows 7 Professional 64-Bit,Intel HD Graphics 4600,Support Email:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL,,,Intel Core i5 4590T (2.0 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional or Windows 8 pro,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hewlett-Packard,,,Intel Core i5 4590 (3.30 GHz),8 GB DDR3 500 GB HDD,Windows 7 Professional 64 (available through downgrade rights from Windows 8.1 Pro),Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL,,,Intel Core i5 4590 (3.30 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional,HD Graphics 4600,Small Form Factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DELL,,,Intel Core i7 4790 (3.6GHz),8GB DDR3 1TB HDD,Windows 7 Professional 64-Bit,AMD Radeon R7 250 2GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,Intel Core i3 4150 (3.50 GHz),8 GB DDR3 2 TB HDD,Windows 7 Home Premium,Intel HD Graphics 4400,Asus QuietCool Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL,,,Intel Core i7 4790 (3.6 GHz),8G 500 GB HDD,Windows 7 Professional,No Screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Acer America,,,Intel Core i5 3337U (1.80 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional 64-Bit,Intel HD Graphics 4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ASUS,,,Intel Core i5 4460 (3.2 GHz),8 GB DDR3 1 TB HDD,Windows 8.1 64-Bit,No Screen,NVIDIA GeForce GTX 760 3 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Hewlett-Packard,,,Intel Core i7 4790 (3.6 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional 64-Bit,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABS,,,Intel Core i5 4590 (3.30 GHz),8 GB DDR3 1 TB HDD 120 GB SSD,Windows 7 Professional 64-Bit,Intel HD Graphics 4600,Support Email:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL,,,Intel Core i5 4590 (3.30 GHz),8 GB DDR3 500 GB HDD,Windows 7 Professional,No Screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lenovo,,,Intel Core i5 4590 (3.30 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional 64 preinstalled through downgrade rights in Windows 8.1 Pro 64-bit,Intel HD Graphics 4600,Screen sells separately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL,,,Intel Core i3 4160T (3.10 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional 64-Bit / Windows 8.1 Pro 64-Bit downgrade,Intel HD Graphics 4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Lenovo,,,Intel Core i5 Processor Model i5-4460S (2.90 GHz),4 GB DDR3 SDRAM 500GB HDD,Windows 7 Professional,Graphics Controller Manufacturer Intel Graphics,Small Form Factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,A6-Series APU A6-6310 (1.80 GHz),6 GB DDR3 1 TB HDD,Windows 8.1 64-Bit,AMD Radeon R4,AMD Radeon R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL,,,Intel Core i5 4590 (3.30GHz),8GB DDR3 500GB HDD,Windows 7 Professional,3 Year Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABS,,,AMD FX-8350 (4.0GHz),8GB DDR3 | 1TB HDD,Nvidia GTX 960 2GB,Tt eSPORTS Commander KB/MO,Cooler Master 120MM Liquid Cooling System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ASUS,,,Intel Core i5 Processor Model i5-4440S Processor Speed 2.80 GHz,Standard Memory 4 GB Memory Technology DDR3 SDRAM 500 GB HDD,Windows 7 Professional,Graphics Controller Manufacturer Intel Graphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,Intel Core i7 4790 (3.6 GHz),8 GB DDR3 1 TB HDD 8 GB SSD,Windows 8.1 64-Bit,NVIDIA GeForce GTX 760 2 GB,Screen sells seperately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL,,,Intel Core i5 4590 (3.30 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional,No Screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,Intel Core i5 4460 (3.2 GHz),4 GB DDR3 1 TB HDD,Windows 8.1 (64-bit),No Screen,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Intel Core i3 4130 (3.40GHz),4GB DDR3 500GB HDD,Windows 7 Professional,No Screen,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,A10-Series APU A10-7800 (3.50 GHz),16 GB DDR3 3 TB HDD,Windows 8.1 64-Bit,AMD Radeon R7,AMD Radeon R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CybertronPC,,,AMD FX-Series FX-6300 (3.50 GHz),8 GB DDR3 1 TB HDD,Windows 8.1 64-Bit,NVIDIA GeForce GTX 750 1 GB,Support Email:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acer America,,,Intel Core i5 4440 (3.10 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional 64-Bit,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ASUS,,,AMD FX-Series FX-770K (3.50 GHz),8 GB DDR3 2 TB HDD,Windows 8.1 64-Bit,No Screen,AMD Radeon R9 270 2 GB GDDR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Intel Core i3 4130T (2.90 GHz),4 GB DDR3 500 GB HDD,Windows 8.1 Pro Downgradable to Windows 7 Professional 64-Bit,No Screen,Intel HD Graphics 4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DELL,,,Intel Core i5 4590 (3.30 GHz),8 GB DDR3 500 GB HDD,Windows 7 Professional,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Intel Core i5 4590T (2.0 GHz),4 GB DDR3 500 GB HDD,Windows 8.1 Pro Downgradable to Windows 7 Professional 64-Bit,No Screen,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Intel Core i7 4790 (3.6 GHz),4 GB DDR3 1 TB HDD,Windows 7 Professional Upgradable to Windows 8.1 Pro,No Screen,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABS,,,Intel Core-i7-4790 (3.6GHz),16GB DDR3 |3TB HDD,Nvidia GTX 960 4GB,CM Storm Devastator KB/MO,Support Email:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lenovo,,,Intel Core i5 4460S (2.90 GHz),4 GB DDR3 500 GB HDD,Windows 8.1 Pro Downgradable to Windows 7 Professional,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hewlett-Packard,,,Intel Core i5 4590 (3.30 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional Upgradable to Windows 8.1 Pro,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hewlett-Packard,,,Intel Core i5 4590T (2.0GHz),4GB DDR3 120GB SSD,Windows 7 Professional 64-Bit / Windows 8 Pro downgrade,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Intel Core i7 4790 (3.6 GHz),8 GB DDR3 1 TB HDD,Windows 7 Professional Upgradable to Windows 8.1 Pro 64-Bit,No Screen,NVIDIA GeForce GT 620 1GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,Intel Atom D2550(1.86GHz),4GB DDR3 320GB HDD Capacity,Windows 7 Professional 64-bit,NVIDIA GeForce GT 610M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Intel Core i5 4590 (3.30 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional 64-Bit / Windows 8.1 Pro downgrade,No Screen,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Intel Core i7 4765T (2 GHz),8 GB DDR3 128 GB SSD,Windows 7 Professional Upgradable to Windows 8.1 Pro 64-Bit,No Screen,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Pentium J2900 (2.41GHz),4GB DDR3 500GB HDD,Windows 7 Professional 64-Bit upgradeable to Windows 8.1 Pro 64-Bit,Intel HD Graphics,Screen Sells Seperately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Intel,,,Quad-core Intel Atom processor, 1.33 GHz,Pre-installed with Linux and 1GB memory,8 GB of onboard storage,Micro SD card slot for easy access to additional files,Built-in Wi-Fi & Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Intel,,,Intel Atom Z3735F (1.33 GHz),2 GB DDR3 32GB eMMC SSD,Windows 10 Home,Intel HD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Hewlett-Packard,,,Intel Core i5 4590S (3.0 GHz),8GB DDR3L 1 TB HDD,Intel HD Graphics 4600,Windows 7 Professional 64-Bit / Windows 8.1 Pro,Screen sells separately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iBUYPOWER,,,AMD FX-Series FX-8320 (3.50 GHz),16 GB DDR3 1 TB HDD 120 GB SSD,Windows 10 Home 64-Bit,AMD Radeon R9 380 4GB,802.11ac Wi-Fi Adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ASUS,,,RockChip 3288-C,2 GB LPDDR3L 16 GB eMMC,Google Chrome OS,Quad-core ARM Mali-T624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,AMD FX-Series FX-770K (3.50 GHz),8 GB DDR3 1 TB HDD 128 GB SSD,Windows 10 Home 64-Bit,"18.5""",AMD Radeon R9 360 2 GB GDDR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Click to view the photo gallery,,,AC Adapter included,This dock wont work without Kangaroo Mobile Desktop (Newegg Item# 83-722-001),Limited Warranty period (labor):1 year,Support Phone:855-976-1116,Support Email:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,AMD FX-Series FX-8310 (3.40 GHz),8 GB DDR3 2 TB HDD,Windows 8.1 64-Bit,AMD Radeon R7 240 2 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lenovo,,,Intel Core i5 4590 (3.30 GHz),4 GB DDR3 500 GB HDD,Intel HD Graphics 4600,Windows 8.1 Pro,Screen sells separately,Intel vPro Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Intel Core i3 4150 (3.50 GHz),4GB 500 GB HDD,windows 8.1 downgrable to windows 7 professional,No Screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,A6-Series APU A6-6310 (1.80 GHz),6 GB DDR3 1 TB HDD,Windows 8.1 64-Bit,AMD Radeon R4,AMD Radeon R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,Intel Core i7 6700 (3.4 GHz),16 GB DDR3 2 TB HDD,Windows 10 Home 64-Bit,AMD Radeon R9 370 2 GB,NVIDIA GeForce GTX 960 2 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hewlett-Packard,,,Pentium G3450 (3.40 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional 64-Bit / Windows 8 Pro downgrade,Intel HD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL,,,Intel Xeon E3-1241 v3 (3.50 GHz),8 GB DDR3 256 GB SSD,Microsoft Windows 7 Professional 64-Bit / Windows 8.1,NVIDIA Quadro K620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL,,,Intel Core i7 4790 (3.6 GHz),8GB (2x4G) 500 GB HDD,Windows 7 Professional English/French 64bit (Includes Windows 8.1 Pro license),"1.6""",AMD Radeon R5 240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lenovo,,,Intel Atom Z3735F (1.33 GHz),2 GB DDR3 32 GB HDD,Windows 10 Home 64-Bit,Intel HD Graphics 5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hewlett-Packard,,,Celeron 2955U (1.4 GHz),2 GB DDR3 16 GB SSD,Google Chrome OS,Intel HD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hewlett-Packard,,,Celeron Processor Model 2955U Processor Speed 1.40 GHz,Standard Memory 4 GB Memory Technology DDR3L SDRAM,Chrome OS,No,Graphics Controller Manufacturer Intel Graphics Controller Model HD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acer America,,,Celeron 3205U (1.5 GHz),4GB DDR3L,Google Chrome OS,No Screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acer America,,,Pentium Processor Model G3250 Processor Speed 3.20 GHz,Standard Memory 4 GB Memory Technology DDR3 SDRAM 1 TB HDD,Windows 7 Professional,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Intel Core i7 4770 (3.40 GHz),4 GB DDR3 1 TB HDD,Windows 7 Professional 64-bit,No Screen,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Intel Core i5 4590T (2.0 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional 64 preinstalled through downgrade rights in Windows 8.1 Pro 64-bit,No Screen,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hewlett-Packard,,,Intel Core i7  4790 (3.6GHz),4GB DDR3  1TB  HDD,Windows 8.1 Pro 64-Bit / Windows 7 Professional downgrade,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Intel Core i3 4150 (3.50 GHz),4GB 500 GB HDD,Windows 7 Professional,To keep it," click the ""Submit Order"" button",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Pentium Processor Model G3240 Processor Speed 3.10 GHz,500 GB HDD,Windows 7 Professional,"20""",Graphics Controller Manufacturer Intel Graphics Controller Model HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Pentium Processor Model G3220 Processor Speed 3 GHz,Standard Memory 4 GB Memory Technology DDR3 SDRAM 500 GB HDD,Windows 7 Professional,"21.5""",Graphics Controller Manufacturer Intel Graphics Controller Model Graphics Media Accelerator HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Intel Core i7-4790 (3.6 GHz),8 GB Memory, 1 TB + 8 GB SSHD,GeForce GTX 745,Windows 8.1 64-Bit,Lenovo IdeaCentre Mid-Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acer America,,,Intel Core i5 4570T (2.90 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional 64-Bit (available through downgrade rights from Windows 8.1 Pro),Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acer America,,,Intel Core i7 6700K (4.00 GHz),16 GB 1 TB HDD 128 GB SSD,Windows 10 Home,NVIDIA GeForce GTX 970 4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL,,,Intel Core i5 4460 (3.2 GHz),12 GB DDR3 1 TB HDD,Windows 10 Home,No Screen,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acer America,,,Intel Core i5 4590 (3.30 GHz),8 GB DDR3 128 GB SSD,Windows 8.1 Pro 64-Bit,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hewlett-Packard,,,A6-Series APU A6-5200 (2.00 GHz),8 GB DDR3 1 TB HDD,Windows 8.1,"15.6""",AMD Radeon HD 8400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Acer America,,,Pentium G3220 (3.00 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional 64-Bit,Intel HD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,Intel Core i3 4160 (3.60 GHz),4 GB DDR3 1 TB HDD,Windows 7 Professional 64-Bit preinstalled + Windows 8.1 Pro Key,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,Intel Core i5 4210U (1.7 GHz),4GB DDR3L 500 GB HDD,Windows 8.1,NVIDIA GeForce 820M / Intel HD Graphics 4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hewlett-Packard,,,Intel Core i3 Processor Model i3-4160T Processor Speed 3.10 GHz,Standard Memory 4 GB Memory Technology DDR3 SDRAM,Windows 7 Professional,Graphics Controller Manufacturer Intel Graphics Controller Model HD Graphics 4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hewlett-Packard,,,Intel Core i3-4160T (3.1 GHz),4 GB DDR3 500 GB HDD,Intel HD Graphics 4600,"19.5"" 1600 x 900 Antiglare Screen",Windows 7 Professional(available through downgrade rights from Windows 8.1 Pro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Intel Core i7 Processor Model i7-4790S Processor Speed 3.20 GHz,Standard Memory 4 GB Memory Technology DDR3L SDRAM 500 GB HDD,Windows 7 Professional,"20""",Graphics Controller Manufacturer Intel Graphics Controller Model HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acer America,,,Intel Core i5 4590S (3.0 GHz),8 GB DDR3 500 GB HDD,Windows 8 Pro,Support Phone:1-800-816-2237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hewlett-Packard,,,Intel Core i5 4590T (2.0 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional 64 with Windows 10 Pro License,No Screen,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hewlett-Packard,,,Intel Core i7 4790 (3.6 GHz),8 GB DDR3 500 GB HDD,Windows 7 Professional 64-Bit with Windows 8.1 Pro License,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DELL,,,Celeron J1800 (2.41 GHz),4 GB DDR3 500 GB HDD,Windows 8.1 64-Bit,"10""",Intel HD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Intel Core i3 Processor Model i3-4130 Processor Speed 3.40 GHz,Standard Memory 4 GB Memory Technology DDR3 SDRAM 500 GB HDD,Windows 7 Professional,Graphics Controller Manufacturer Intel Graphics Controller Model HD 4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
